id,player_id,college_name
941,997,Tennessee
942,998,Providence
943,999,University of Maine
944,1000,San Francisco
945,1001,Purdue
946,1002,Penn
947,1003,Virginia
948,1004,Cerritos College BYU Westminster College of Utah
949,1005,Duke
950,1006,Kentucky Wesleyan College
951,1007,Marquette
952,1008,Dayton
953,1009,St. Gregory's University Tulsa
954,1011,Texas Tech
955,1012,Cincinnati
956,1013,Cincinnati
957,1014,DePaul
958,1015,Pitt
959,1016,UNC
960,1017,Oklahoma State
961,1018,Villanova
962,1019,Murray State
963,1020,Oregon State
964,1021,Temple
965,1023,Rhode Island
966,1024,Robert Morris University (PA) Detroit Mercy
967,1025,Boston College
968,1026,Notre Dame
969,1027,Virginia Tech
970,1029,Oklahoma State
971,1030,Georgia Southern University
972,1031,Liberty Duke
973,1032,Davidson
974,1034,Marshall
975,1035,Colorado
976,1036,New Mexico State
977,1038,Duquesne
978,1039,San Francisco
979,1040,Seton Hall
980,1041,Stanford
981,1042,Mississippi State
982,1043,Kentucky
983,1044,Norfolk State
984,1045,Bowling Green
985,1047,Kentucky
986,1048,Mount San Antonio College
987,1049,Auburn
988,1050,Southeastern Iowa Community College West Burlington Campus New Mexico
989,1051,VCU
990,1053,Oregon
991,1054,Notre Dame
992,1055,Oklahoma State
993,1056,Denver
994,1057,Michigan
995,1058,George Washington
996,1059,VCU
997,1060,UAB University of Delaware
998,1061,Cypress College Indiana State University San Jose State
999,1062,Bowling Green
1000,1064,UNC
1001,1065,Albany State University
1002,1067,Alabama
1003,1068,Seton Hall
1004,1069,BYU
1005,1070,Kentucky
1006,1071,Texas-El Paso
1007,1072,Oklahoma Baptist University
1008,1073,UCLA
1009,1074,Kansas Arizona
1010,1075,Notre Dame
1011,1076,Weber State
1012,1077,Maryland
1013,1078,Duke
1014,1079,Vanderbilt
1015,1080,Wake Forest
1016,1081,Clemson
1017,1082,Michigan State
1018,1083,Houston
1019,1084,UNC
1020,1085,Delaware State University
1021,1086,LSU
1022,1087,Florida State
1023,1088,UNC
1024,1089,Colorado
1025,1090,Dayton
1026,1091,Wisconsin
1027,1092,Wyoming
1028,1093,NC Central
1029,1094,Old Dominion
1030,1095,Howard College Texas Tech
1031,1096,St. John's
1032,1097,Duquesne
1033,1098,Virginia Union University
1034,1099,Maryland
1035,1100,Tennessee State
1036,1101,Michigan State
1037,1102,Cincinnati
1038,1103,St. John's
1039,1104,Iowa
1040,1105,Washington State
1041,1106,Ole Miss
1042,1107,Virginia Union University
1043,1108,Texas A&M
1044,1109,Texas A&M
1045,1110,UNC
1046,1111,North Carolina A&T
1047,1112,University of North Texas
1048,1113,Alabama
1049,1114,Duke
1050,1116,Duke
1051,1117,Northern Illinois
1052,1118,Michigan State
1053,1119,Midwestern State University
1054,1120,Illinois
1055,1121,Florida State
1056,1122,Arkansas
1057,1123,Gonzaga
1058,1124,UCLA
1059,1125,LSU
1060,1127,Saint Joseph's
1061,1128,Detroit Mercy
1062,1129,Florida
1063,1130,Duke
1064,1131,Wisconsin-River Falls
1065,1132,St. John's
1066,1133,USC
1067,1134,Clark Atlanta University
1068,1135,Utah
1069,1137,USC
1070,1138,Saint Louis Saint Mary of the Plains College
1071,1139,Indiana
1072,1140,Seton Hall
1073,1141,Columbia University
1074,1142,USC UNLV Iowa State
1075,1143,Wisconsin
1076,1144,NC State
1077,1145,Virginia Tech
1078,1146,Maryland Arizona
1079,1148,Seton Hall
1080,1149,Kentucky
1081,1150,Saint Mary's
1082,1151,Wyoming
1083,1152,Arizona
1084,1153,University of the Pacific
1085,1154,King's College
1086,1155,Duke
1087,1156,Duke
1088,1157,Lawrence Technological University
1089,1158,Wichita State Texas A&M
1090,1159,Boise State Toledo Baylor
1091,1160,Washington
1092,1161,Duke
1093,1162,Seattle University
1094,1163,Georgetown
1095,1164,University of Rochester
1096,1165,George Washington
1097,1166,Providence
1098,1167,Villanova
1099,1168,Michigan
1100,1169,Virginia
1101,1170,Eastern Michigan
1102,1171,Kansas
1103,1172,Kentucky
1104,1175,Pepperdine
1105,1176,Miami (FL)
1106,1177,Kansas
1107,1178,Washington Gonzaga
1108,1179,Tyler Junior College Idaho
1109,1180,University of Charleston
1110,1181,Arizona
1111,1182,Cochise Community College Boise State
1112,1183,Cincinnati
1113,1184,NC State
1114,1185,Michigan Kansas
1115,1186,Arkansas State University
1116,1187,Marquette
1117,1188,Louisville
